"LiqPay","ЛікПей"
"Enabled","Увімкнено"
"Test Mode","Тестовий режим"
"Title","Назва"
"Public Key","Публічний ключ"
"Private Key","Приватний ключ"
"Payment from Applicable Countries","Оплата з дозволених країн"
"Payment from Specific Countries","Оплата з певних країн"
"Order Description","Опис замовлення"
"LiqPay Callback Security Check","Перевірка безпеки зворотнього виклику LiqPay"
"Payment is not allow.","Оплата не дозволена."
"Order not found","Замовлення не знайдено."
"Order payment method is not a LiqPay payment method","Метод оплати замовлення не є методом оплати LiqPay."
"Something went wrong, please try again later","Щось пішло не так, будь ласка, спробуйте пізніше."

